Amount__c,Attempt_No__c,Cart_ID__c,Cart_Item__c,Class_Registration_Start_Date__c,Course__c,Enrollment_Stage__c,Enrollment_Status__c,Enrollment_Status_Date__c,Errors,External_Key__c,hed__Contact__c,hed__Credentialing_Identifier__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Display_Grade__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Verification_Status__c,hed__Verification_Status_Date__c,Id,Is_Group_Registered__c,IsActive__c,LMS_Integration_Status__c,Marks__c,Migration_Id__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,RecordTypeId,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c,Transaction_ID__c
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVshYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsiYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsjYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVskYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVslYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsmYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsnYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsoYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVspYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsqYAG,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsrYAG,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVssYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVstYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVsuYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVsvYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
